run_id,table_type,table_m,hash_name,data_n,phase,metric,value
0,chaining,200003,mod,100000,insert,time_ns,27190900
0,chaining,200003,mod,100000,insert,collisions,25358
0,chaining,200003,mod,100000,insert,memory_bytes,0
0,chaining,200003,mod,100000,search,time_ns,2879200
0,chaining,200003,mod,100000,structure,chain_top1,8
0,chaining,200003,mod,100000,structure,chain_top2,6
0,chaining,200003,mod,100000,structure,chain_top3,6
0,chaining,200003,mod,100000,gaps,min,0
0,chaining,200003,mod,100000,gaps,avg,1.548751736354484
0,chaining,200003,mod,100000,gaps,max,22
0,chaining,200003,mod,1000000,insert,time_ns,107437400
0,chaining,200003,mod,1000000,insert,collisions,2500976
0,chaining,200003,mod,1000000,insert,memory_bytes,9188744
0,chaining,200003,mod,1000000,search,time_ns,65924100
0,chaining,200003,mod,1000000,structure,chain_top1,19
0,chaining,200003,mod,1000000,structure,chain_top2,19
0,chaining,200003,mod,1000000,structure,chain_top3,17
0,chaining,200003,mod,1000000,gaps,min,0
0,chaining,200003,mod,1000000,gaps,avg,0.006826213465159128
0,chaining,200003,mod,1000000,gaps,max,2
0,chaining,200003,mod,10000000,insert,time_ns,15792963700
0,chaining,200003,mod,10000000,insert,collisions,250022012
0,chaining,200003,mod,10000000,insert,memory_bytes,84686224
0,chaining,200003,mod,10000000,search,time_ns,16370679400
0,chaining,200003,mod,10000000,structure,chain_top1,84
0,chaining,200003,mod,10000000,structure,chain_top2,83
0,chaining,200003,mod,10000000,structure,chain_top3,83
0,chaining,200003,mod,10000000,gaps,min,0
0,chaining,200003,mod,10000000,gaps,avg,0.0
0,chaining,200003,mod,10000000,gaps,max,0
1,chaining,200003,mul,100000,insert,time_ns,41077800
1,chaining,200003,mul,100000,insert,collisions,25009
1,chaining,200003,mul,100000,insert,memory_bytes,1600328
1,chaining,200003,mul,100000,search,time_ns,27497000
1,chaining,200003,mul,100000,structure,chain_top1,6
1,chaining,200003,mul,100000,structure,chain_top2,6
1,chaining,200003,mul,100000,structure,chain_top3,6
1,chaining,200003,mul,100000,gaps,min,0
1,chaining,200003,mul,100000,gaps,avg,1.5428146415267059
1,chaining,200003,mul,100000,gaps,max,21
1,chaining,200003,mul,1000000,insert,time_ns,263520300
1,chaining,200003,mul,1000000,insert,collisions,2501283
1,chaining,200003,mul,1000000,insert,memory_bytes,9188688
1,chaining,200003,mul,1000000,search,time_ns,212975600
1,chaining,200003,mul,1000000,structure,chain_top1,16
1,chaining,200003,mul,1000000,structure,chain_top2,16
1,chaining,200003,mul,1000000,structure,chain_top3,16
1,chaining,200003,mul,1000000,gaps,min,0
1,chaining,200003,mul,1000000,gaps,avg,0.006608317521352465
1,chaining,200003,mul,1000000,gaps,max,3
1,chaining,200003,mul,10000000,insert,time_ns,16181945900
1,chaining,200003,mul,10000000,insert,collisions,249992640
1,chaining,200003,mul,10000000,insert,memory_bytes,84686160
1,chaining,200003,mul,10000000,search,time_ns,18628154500
